Tipo de item;Chave da item;Resumo;Responsável;Relator;Prioridade;Status;Criado;Atualizado(a);Campo personalizado (Domínio de TI - Atuação)
Tarefa;TC-224;Solicitar a compra de caixa de cabos CAT6 HD Imobiliária;Anthony Cruz;Anthony Cruz;Médio;Concluído;02/03/2026 14:45;02/03/2026 14:49;Telefonia & Redes (Conectividade)
Tarefa;TC-223;Parametrizar novos Fluxos no Quadro do Jira da HD Imobiliária;Anthony Cruz;Anthony Cruz;Médio;Concluído;02/03/2026 14:32;02/03/2026 16:21;Software & Aplicações (Sistemas)
Reunião Interna;TC-222;Reunião de Alinhamento;Anthony Cruz;Anthony Cruz;Médio;Concluído;27/02/2026 07:18;27/02/2026 10:20;Gestão & Administrativo
Tarefa;TC-221;Solicitar compra de bateria para notebook do Eng Marcelo;Anthony Cruz;Anthony Cruz;Médio;Concluído;25/02/2026 15:52;25/02/2026 15:52;Gestão & Administrativo
Tarefa;TC-220;Instalar provisoriamente o AP UBIQUITI na Legalização;Anthony Cruz;Anthony Cruz;Médio;Concluído;25/02/2026 11:51;26/02/2026 14:53;Telefonia & Redes (Conectividade)
Tarefa;TC-219;Definir compra de notebook para uso de Ramon;Anthony Cruz;Anthony Cruz;Médio;Concluído;25/02/2026 11:35;25/02/2026 11:35;Hardware (Ativos Físicos)
Tarefa;TC-217;Visitar o setor de engenharia e instalar impressora Ricoh;Anthony Cruz;Anthony Cruz;Médio;Concluído;25/02/2026 10:20;25/02/2026 10:20;Telefonia & Redes (Conectividade)
Tarefa;TC-216;Fazer Relatório de Adequação de Infraestrutura e Conformidade;Anthony Cruz;Anthony Cruz;Médio;Concluído;25/02/2026 10:19;25/02/2026 10:19;Gestão & Administrativo
Tarefa;TC-215;Criar status de CONDICIONADO no Jira da HD;Anthony Cruz;Anthony Cruz;Médio;Concluído;24/02/2026 08:53;24/02/2026 08:53;Software & Aplicações (Sistemas)
Tarefa;TC-214;Ajuste de fluxos no Jira da HD;Anthony Cruz;Anthony Cruz;Médio;Concluído;24/02/2026 08:45;24/02/2026 08:45;Software & Aplicações (Sistemas)
